CustomerID,Usia,Jenis Kelamin,Masa Tenure,Frekuensi Penggunaan,Panggilan Dukungan,Keterlambatan Pembayaran,Tipe Langganan,Lama Kontrak,Total Pengeluaran,Interaksi Terakhir,Churn
100,19,Female,7.0,29.0,3.0,26.0,Standard,Quarterly,372.0,8.0,1.0
101,49,Male,48.0,2.0,6.0,17.0,Standard,Monthly,832.0,11.0,1.0
102,20,Male,12.0,27.0,1.0,8.0,Premium,Annual,243.0,13.0,1.0
103,28,Male,33.0,14.0,7.0,29.0,Basic,Monthly,856.0,6.0,1.0
104,39,Female,45.0,28.0,6.0,3.0,Standard,Quarterly,900.0,28.0,1.0
105,36,Male,39.0,2.0,10.0,22.0,Premium,Monthly,239.0,8.0,1.0
106,55,Male,38.0,16.0,3.0,1.0,Standard,Annual,927.0,6.0,1.0
107,44,Male,41.0,8.0,1.0,23.0,Standard,Quarterly,539.0,21.0,1.0
108,52,Female,5.0,10.0,5.0,2.0,Basic,Quarterly,769.0,25.0,1.0
109,21,Male,35.0,19.0,9.0,22.0,Premium,Monthly,306.0,30.0,1.0
110,26,Male,34.0,29.0,7.0,5.0,Standard,Annual,351.0,26.0,1.0
111,42,Female,51.0,30.0,8.0,18.0,Basic,Quarterly,319.0,20.0,1.0
112,62,Female,45.0,22.0,8.0,8.0,Standard,Quarterly,719.0,20.0,1.0
113,25,Female,2.0,12.0,0.0,27.0,Basic,Monthly,259.0,26.0,1.0
114,55,Male,8.0,16.0,6.0,5.0,Standard,Monthly,677.0,2.0,1.0
115,27,Female,48.0,20.0,8.0,16.0,Premium,Monthly,541.0,30.0,1.0
116,27,Male,56.0,3.0,6.0,20.0,Premium,Quarterly,588.0,1.0,1.0
117,28,Female,26.0,29.0,1.0,6.0,Basic,Annual,253.0,17.0,1.0
118,25,Female,5.0,22.0,9.0,6.0,Basic,Monthly,683.0,5.0,1.0
119,59,Female,35.0,24.0,6.0,28.0,Premium,Annual,204.0,24.0,1.0
120,31,Female,57.0,15.0,5.0,11.0,Premium,Annual,397.0,20.0,1.0
121,40,Female,37.0,10.0,0.0,18.0,Basic,Annual,952.0,30.0,1.0
122,35,Male,57.0,11.0,4.0,21.0,Standard,Annual,532.0,12.0,1.0
123,47,Male,16.0,11.0,4.0,15.0,Standard,Monthly,431.0,28.0,1.0
124,23,Female,35.0,7.0,10.0,30.0,Standard,Annual,665.0,30.0,1.0
125,47,Male,42.0,26.0,5.0,21.0,Premium,Quarterly,104.0,28.0,1.0
126,47,Female,22.0,16.0,8.0,9.0,Premium,Quarterly,404.0,4.0,1.0
127,31,Female,13.0,29.0,9.0,22.0,Standard,Annual,144.0,17.0,1.0
128,33,Female,40.0,8.0,2.0,4.0,Standard,Monthly,661.0,20.0,1.0
129,20,Female,3.0,9.0,3.0,14.0,Basic,Annual,710.0,15.0,1.0
130,32,Male,22.0,3.0,4.0,24.0,Standard,Monthly,584.0,16.0,1.0
131,63,Female,50.0,17.0,10.0,1.0,Premium,Monthly,800.0,7.0,1.0
132,40,Male,13.0,25.0,1.0,28.0,Standard,Annual,289.0,11.0,1.0
133,55,Male,23.0,2.0,10.0,21.0,Premium,Quarterly,169.0,23.0,1.0
134,55,Female,31.0,11.0,0.0,18.0,Premium,Monthly,410.0,23.0,1.0
135,24,Female,28.0,2.0,2.0,17.0,Premium,Monthly,922.0,8.0,1.0
136,32,Male,30.0,28.0,10.0,4.0,Basic,Quarterly,399.0,6.0,1.0
137,63,Female,14.0,9.0,8.0,10.0,Standard,Quarterly,121.0,20.0,1.0
138,58,Female,51.0,26.0,8.0,0.0,Standard,Annual,462.0,15.0,1.0
139,31,Male,30.0,9.0,10.0,8.0,Standard,Quarterly,194.0,9.0,1.0
140,52,Male,59.0,10.0,4.0,25.0,Standard,Quarterly,111.0,9.0,1.0
141,22,Female,35.0,15.0,10.0,9.0,Basic,Quarterly,129.0,20.0,1.0
142,41,Male,10.0,27.0,3.0,10.0,Standard,Monthly,151.0,19.0,1.0
143,51,Male,25.0,20.0,5.0,6.0,Basic,Annual,605.0,7.0,1.0
144,19,Male,38.0,18.0,6.0,16.0,Standard,Monthly,838.0,24.0,1.0
145,52,Male,23.0,28.0,0.0,17.0,Premium,Annual,923.0,9.0,1.0
146,48,Female,17.0,24.0,10.0,5.0,Premium,Monthly,208.0,16.0,1.0
147,31,Female,27.0,14.0,5.0,0.0,Standard,Quarterly,963.0,27.0,1.0
148,27,Male,46.0,3.0,6.0,3.0,Basic,Annual,946.0,7.0,1.0
149,57,Male,51.0,24.0,8.0,6.0,Basic,Quarterly,186.0,18.0,1.0
150,34,Female,12.0,3.0,7.0,30.0,Premium,Monthly,428.0,8.0,1.0
151,31,Female,36.0,25.0,10.0,14.0,Standard,Annual,941.0,8.0,1.0
152,46,Male,15.0,15.0,0.0,26.0,Standard,Monthly,223.0,4.0,1.0
153,44,Male,22.0,22.0,5.0,26.0,Standard,Monthly,347.0,14.0,1.0
154,63,Female,57.0,20.0,7.0,16.0,Standard,Annual,182.0,6.0,1.0
155,34,Female,36.0,10.0,2.0,25.0,Premium,Quarterly,575.0,25.0,1.0
156,37,Female,22.0,23.0,9.0,29.0,Standard,Quarterly,838.0,6.0,1.0
157,22,Female,36.0,16.0,7.0,2.0,Premium,Monthly,779.0,28.0,1.0
158,20,Female,30.0,13.0,10.0,15.0,Basic,Annual,452.0,16.0,1.0
159,50,Male,51.0,25.0,6.0,8.0,Standard,Annual,303.0,4.0,1.0
160,50,Female,37.0,25.0,5.0,16.0,Standard,Quarterly,412.0,23.0,1.0
161,52,Male,9.0,2.0,4.0,27.0,Standard,Quarterly,278.0,21.0,1.0
162,44,Male,17.0,26.0,1.0,30.0,Basic,Quarterly,375.0,18.0,1.0
163,40,Female,29.0,10.0,7.0,18.0,Premium,Annual,844.0,26.0,1.0
164,29,Male,28.0,18.0,5.0,16.0,Basic,Quarterly,693.0,18.0,1.0
165,42,Female,6.0,14.0,8.0,3.0,Standard,Monthly,229.0,30.0,1.0
166,61,Male,6.0,6.0,6.0,5.0,Premium,Quarterly,925.0,15.0,1.0
167,55,Female,60.0,24.0,8.0,10.0,Basic,Monthly,157.0,29.0,1.0
168,40,Female,33.0,7.0,0.0,8.0,Premium,Quarterly,114.0,18.0,1.0
169,18,Female,19.0,14.0,9.0,3.0,Premium,Monthly,235.0,17.0,1.0
170,37,Female,9.0,1.0,7.0,10.0,Basic,Monthly,530.0,1.0,1.0
171,25,Male,12.0,5.0,4.0,20.0,Basic,Annual,769.0,27.0,1.0
172,43,Female,11.0,20.0,6.0,9.0,Premium,Annual,100.0,17.0,1.0
173,37,Male,42.0,20.0,0.0,11.0,Standard,Annual,931.0,18.0,0.0
174,29,Female,38.0,25.0,10.0,8.0,Standard,Quarterly,374.0,19.0,1.0
175,48,Male,4.0,25.0,3.0,0.0,Premium,Quarterly,922.0,5.0,0.0
176,32,Female,21.0,29.0,2.0,25.0,Premium,Annual,829.0,13.0,1.0
177,41,Female,3.0,30.0,5.0,6.0,Standard,Quarterly,155.0,8.0,1.0
178,53,Male,20.0,21.0,2.0,24.0,Premium,Quarterly,141.0,1.0,1.0
179,64,Male,12.0,2.0,8.0,17.0,Standard,Monthly,116.0,3.0,1.0
180,33,Male,54.0,3.0,5.0,24.0,Standard,Quarterly,126.0,6.0,1.0
181,37,Male,28.0,20.0,6.0,4.0,Premium,Monthly,751.0,25.0,1.0
182,32,Male,43.0,28.0,0.0,20.0,Basic,Quarterly,965.0,28.0,0.0
183,54,Female,15.0,7.0,8.0,29.0,Premium,Monthly,767.0,5.0,1.0
184,39,Male,57.0,18.0,5.0,9.0,Standard,Annual,893.0,26.0,1.0
185,26,Female,15.0,14.0,3.0,30.0,Premium,Quarterly,844.0,5.0,1.0
186,20,Female,24.0,28.0,2.0,13.0,Premium,Quarterly,980.0,4.0,0.0
187,46,Male,28.0,3.0,7.0,19.0,Premium,Quarterly,180.0,14.0,1.0
188,22,Male,21.0,12.0,3.0,22.0,Premium,Monthly,376.0,17.0,1.0
189,58,Female,19.0,20.0,3.0,5.0,Standard,Quarterly,252.0,28.0,1.0
190,23,Female,25.0,5.0,10.0,5.0,Basic,Monthly,561.0,7.0,1.0
191,60,Female,32.0,21.0,8.0,25.0,Standard,Annual,572.0,23.0,1.0
192,27,Male,2.0,19.0,7.0,28.0,Premium,Monthly,575.0,15.0,1.0
193,51,Female,36.0,18.0,9.0,26.0,Standard,Quarterly,226.0,10.0,1.0
194,41,Female,20.0,29.0,8.0,23.0,Basic,Monthly,362.0,29.0,1.0
195,30,Male,14.0,14.0,10.0,18.0,Standard,Quarterly,407.0,4.0,1.0
196,26,Female,43.0,29.0,10.0,12.0,Basic,Monthly,901.0,1.0,1.0
197,58,Male,6.0,11.0,2.0,16.0,Premium,Quarterly,388.0,28.0,1.0
198,26,Female,8.0,23.0,9.0,27.0,Basic,Quarterly,502.0,27.0,1.0
199,52,Female,16.0,25.0,8.0,0.0,Basic,Monthly,628.0,18.0,1.0
200,31,Male,11.0,8.0,0.0,28.0,Standard,Monthly,1000.0,4.0,1.0
201,19,Male,24.0,30.0,3.0,11.0,Basic,Annual,976.0,4.0,1.0
202,25,Male,14.0,25.0,9.0,1.0,Basic,Quarterly,997.0,28.0,1.0
203,37,Male,37.0,5.0,6.0,21.0,Standard,Monthly,676.0,21.0,1.0
204,32,Male,33.0,18.0,3.0,3.0,Basic,Annual,267.0,15.0,1.0
205,38,Male,15.0,14.0,2.0,29.0,Premium,Monthly,847.0,30.0,1.0
206,42,Female,30.0,14.0,6.0,3.0,Standard,Annual,102.0,28.0,1.0
207,47,Male,44.0,17.0,8.0,13.0,Basic,Quarterly,201.0,11.0,1.0
208,46,Male,26.0,6.0,10.0,25.0,Basic,Annual,108.0,16.0,1.0
209,34,Male,11.0,25.0,7.0,5.0,Basic,Annual,356.0,16.0,1.0
210,25,Male,5.0,22.0,0.0,2.0,Basic,Annual,352.0,11.0,1.0
211,35,Male,15.0,3.0,2.0,14.0,Standard,Annual,262.0,1.0,1.0
212,54,Female,1.0,7.0,5.0,20.0,Standard,Annual,735.0,25.0,1.0
213,22,Female,39.0,28.0,4.0,16.0,Premium,Quarterly,516.0,3.0,1.0
214,19,Female,35.0,14.0,7.0,25.0,Basic,Monthly,206.0,19.0,1.0
215,24,Male,40.0,6.0,0.0,20.0,Standard,Annual,125.0,24.0,1.0
216,24,Female,42.0,11.0,3.0,1.0,Premium,Quarterly,597.0,15.0,1.0
217,20,Female,6.0,13.0,9.0,5.0,Basic,Monthly,769.0,13.0,1.0
218,46,Male,23.0,12.0,7.0,16.0,Basic,Quarterly,281.0,9.0,1.0
219,46,Female,28.0,13.0,5.0,4.0,Basic,Quarterly,829.0,25.0,1.0
220,57,Female,17.0,25.0,7.0,27.0,Standard,Monthly,234.0,10.0,1.0
221,55,Male,28.0,19.0,9.0,0.0,Basic,Annual,141.0,1.0,1.0
222,54,Male,7.0,2.0,2.0,8.0,Standard,Monthly,221.0,13.0,1.0
223,64,Female,2.0,5.0,7.0,6.0,Standard,Quarterly,839.0,13.0,1.0
224,29,Male,48.0,23.0,9.0,6.0,Basic,Monthly,276.0,18.0,1.0
225,61,Male,59.0,5.0,7.0,22.0,Standard,Quarterly,314.0,28.0,1.0
226,45,Male,2.0,2.0,7.0,16.0,Standard,Annual,491.0,21.0,1.0
227,30,Female,39.0,11.0,1.0,28.0,Basic,Annual,398.0,24.0,1.0
228,51,Female,22.0,11.0,0.0,26.0,Premium,Quarterly,207.0,23.0,1.0
229,50,Male,58.0,20.0,3.0,8.0,Basic,Quarterly,223.0,16.0,1.0
230,32,Male,22.0,17.0,10.0,12.0,Premium,Monthly,396.0,6.0,1.0
231,55,Female,4.0,1.0,9.0,4.0,Standard,Monthly,191.0,8.0,1.0
232,49,Female,14.0,2.0,10.0,26.0,Basic,Quarterly,889.0,22.0,1.0
233,20,Female,26.0,20.0,6.0,13.0,Premium,Monthly,723.0,2.0,1.0
234,43,Male,9.0,4.0,7.0,3.0,Standard,Monthly,339.0,12.0,1.0
235,61,Female,46.0,11.0,3.0,18.0,Standard,Annual,754.0,29.0,1.0
236,34,Female,34.0,15.0,1.0,19.0,Premium,Quarterly,962.0,22.0,1.0
237,51,Female,55.0,25.0,1.0,16.0,Standard,Monthly,810.0,19.0,1.0
238,54,Male,25.0,21.0,6.0,1.0,Standard,Quarterly,712.0,9.0,1.0
239,20,Male,7.0,3.0,2.0,17.0,Basic,Monthly,580.0,9.0,1.0
240,35,Female,42.0,10.0,3.0,7.0,Premium,Quarterly,196.0,12.0,1.0
241,37,Male,46.0,23.0,1.0,15.0,Standard,Quarterly,764.0,10.0,0.0
242,38,Male,58.0,16.0,4.0,27.0,Premium,Monthly,151.0,28.0,1.0
243,62,Female,23.0,22.0,6.0,4.0,Basic,Quarterly,318.0,11.0,1.0
244,19,Female,58.0,19.0,4.0,24.0,Standard,Monthly,794.0,27.0,1.0
245,64,Male,42.0,5.0,10.0,9.0,Standard,Annual,327.0,2.0,1.0
246,43,Female,38.0,16.0,10.0,25.0,Standard,Monthly,111.0,23.0,1.0
247,24,Male,52.0,12.0,7.0,21.0,Premium,Quarterly,964.0,22.0,1.0
248,56,Female,14.0,12.0,3.0,20.0,Basic,Monthly,770.0,9.0,1.0
249,49,Male,21.0,18.0,4.0,5.0,Standard,Quarterly,118.0,14.0,1.0
250,21,Female,37.0,28.0,6.0,26.0,Standard,Monthly,300.0,22.0,1.0
251,34,Female,21.0,8.0,7.0,30.0,Basic,Quarterly,715.0,27.0,1.0
252,39,Male,21.0,7.0,7.0,26.0,Basic,Annual,699.0,19.0,1.0
253,56,Male,15.0,3.0,9.0,4.0,Basic,Quarterly,974.0,3.0,1.0
254,20,Female,16.0,7.0,3.0,27.0,Basic,Quarterly,682.0,26.0,1.0
255,33,Male,33.0,11.0,4.0,12.0,Standard,Annual,872.0,17.0,1.0
256,26,Female,43.0,2.0,8.0,1.0,Premium,Monthly,323.0,2.0,1.0
257,51,Female,35.0,24.0,6.0,9.0,Standard,Annual,872.0,22.0,1.0
258,65,Female,60.0,28.0,10.0,26.0,Premium,Quarterly,846.0,21.0,1.0
259,49,Male,5.0,28.0,8.0,18.0,Premium,Annual,405.0,10.0,1.0
260,37,Male,2.0,26.0,4.0,30.0,Standard,Annual,451.0,21.0,1.0
261,59,Male,47.0,7.0,8.0,30.0,Premium,Annual,359.0,30.0,1.0
262,47,Female,11.0,21.0,6.0,13.0,Standard,Quarterly,100.0,8.0,1.0
263,33,Female,41.0,3.0,5.0,29.0,Basic,Quarterly,790.0,5.0,1.0
264,30,Male,5.0,16.0,8.0,23.0,Standard,Annual,695.0,7.0,1.0
265,31,Female,2.0,17.0,6.0,23.0,Basic,Annual,649.0,15.0,1.0
266,35,Male,58.0,12.0,6.0,6.0,Standard,Annual,577.0,18.0,1.0
267,60,Male,59.0,1.0,0.0,2.0,Basic,Annual,861.0,2.0,1.0
268,51,Female,34.0,30.0,8.0,22.0,Standard,Monthly,978.0,11.0,1.0
269,26,Female,24.0,1.0,9.0,7.0,Basic,Quarterly,887.0,8.0,1.0
270,23,Male,27.0,17.0,4.0,2.0,Premium,Annual,807.0,8.0,1.0
271,30,Female,16.0,14.0,0.0,20.0,Basic,Quarterly,369.0,17.0,1.0
272,35,Female,27.0,14.0,8.0,25.0,Premium,Annual,543.0,28.0,1.0
273,60,Male,45.0,29.0,6.0,19.0,Standard,Annual,695.0,13.0,1.0
274,52,Female,3.0,16.0,0.0,0.0,Standard,Quarterly,341.0,5.0,1.0
275,46,Male,53.0,1.0,6.0,12.0,Basic,Quarterly,863.0,27.0,1.0
276,24,Female,50.0,2.0,3.0,25.0,Premium,Quarterly,418.0,10.0,1.0
277,61,Female,46.0,2.0,5.0,9.0,Premium,Quarterly,358.0,3.0,1.0
278,28,Male,35.0,16.0,8.0,11.0,Premium,Monthly,101.0,11.0,1.0
279,41,Male,7.0,7.0,3.0,23.0,Premium,Annual,110.0,1.0,1.0
280,30,Male,21.0,17.0,6.0,20.0,Premium,Monthly,974.0,16.0,1.0
281,18,Male,13.0,10.0,1.0,24.0,Basic,Quarterly,969.0,19.0,1.0
282,62,Female,5.0,17.0,4.0,12.0,Basic,Annual,256.0,11.0,1.0
283,48,Female,3.0,25.0,9.0,29.0,Standard,Quarterly,865.0,7.0,1.0
284,22,Male,56.0,17.0,0.0,30.0,Standard,Monthly,481.0,11.0,1.0
285,51,Female,43.0,6.0,2.0,25.0,Standard,Quarterly,976.0,21.0,1.0
286,48,Male,25.0,13.0,0.0,4.0,Premium,Annual,481.0,30.0,1.0
287,63,Female,49.0,21.0,9.0,19.0,Standard,Annual,930.0,13.0,1.0
288,25,Female,45.0,21.0,9.0,16.0,Premium,Monthly,737.0,11.0,1.0
289,30,Female,59.0,20.0,6.0,30.0,Standard,Quarterly,779.0,11.0,1.0
290,54,Female,24.0,18.0,6.0,18.0,Standard,Annual,689.0,5.0,1.0
291,20,Female,43.0,5.0,0.0,8.0,Standard,Monthly,223.0,12.0,1.0
292,48,Female,45.0,8.0,9.0,13.0,Standard,Annual,355.0,13.0,1.0
293,56,Female,45.0,19.0,2.0,26.0,Premium,Monthly,277.0,3.0,1.0
294,57,Male,5.0,29.0,9.0,22.0,Standard,Quarterly,779.0,14.0,1.0
295,21,Female,41.0,5.0,9.0,25.0,Standard,Monthly,115.0,23.0,1.0
296,39,Male,27.0,18.0,6.0,0.0,Basic,Annual,771.0,28.0,1.0
297,39,Male,58.0,25.0,7.0,7.0,Standard,Monthly,551.0,6.0,1.0
298,60,Female,43.0,5.0,4.0,26.0,Basic,Monthly,334.0,18.0,1.0
299,35,Female,42.0,8.0,10.0,9.0,Basic,Annual,247.0,30.0,1.0
300,45,Male,32.0,8.0,7.0,19.0,Standard,Monthly,276.0,17.0,1.0
301,26,Male,53.0,5.0,7.0,20.0,Standard,Quarterly,262.0,5.0,1.0
302,50,Male,26.0,5.0,1.0,2.0,Basic,Annual,439.0,22.0,1.0
303,62,Female,30.0,29.0,2.0,23.0,Basic,Quarterly,440.0,13.0,1.0
304,27,Female,55.0,15.0,8.0,30.0,Premium,Annual,331.0,25.0,1.0
305,33,Male,17.0,7.0,0.0,13.0,Basic,Annual,756.0,1.0,1.0
306,52,Male,32.0,13.0,8.0,0.0,Standard,Monthly,920.0,26.0,1.0
307,36,Male,2.0,6.0,3.0,14.0,Basic,Monthly,970.0,19.0,1.0
308,32,Male,8.0,28.0,10.0,9.0,Basic,Annual,634.0,1.0,1.0
309,26,Female,40.0,6.0,4.0,14.0,Standard,Monthly,202.0,27.0,1.0
310,22,Female,13.0,27.0,6.0,18.0,Standard,Quarterly,731.0,13.0,1.0
311,19,Female,51.0,7.0,1.0,9.0,Premium,Annual,236.0,17.0,1.0
312,37,Male,27.0,24.0,2.0,15.0,Standard,Annual,146.0,9.0,1.0
313,56,Female,30.0,11.0,2.0,15.0,Premium,Monthly,931.0,20.0,1.0
