CustomerID,Usia,Jenis Kelamin,Masa Tenure,Frekuensi Penggunaan,Panggilan Dukungan,Keterlambatan Pembayaran,Tipe Langganan,Lama Kontrak,Total Pengeluaran,Interaksi Terakhir
29,34,Male,14.0,12.0,6.0,2.0,Premium,Monthly,715.0,27.0
30,25,Male,41.0,21.0,5.0,5.0,Standard,Quarterly,809.0,23.0
31,21,Male,48.0,14.0,2.0,7.0,Standard,Monthly,110.0,11.0
32,53,Male,27.0,20.0,10.0,23.0,Standard,Monthly,932.0,20.0
33,58,Female,21.0,7.0,1.0,8.0,Basic,Monthly,841.0,2.0
34,26,Male,1.0,8.0,3.0,25.0,Basic,Monthly,484.0,4.0
35,52,Male,47.0,4.0,9.0,10.0,Premium,Annual,633.0,17.0
36,41,Female,42.0,2.0,8.0,4.0,Premium,Annual,204.0,24.0
37,21,Female,50.0,2.0,8.0,24.0,Basic,Quarterly,809.0,24.0
38,51,Female,5.0,2.0,6.0,11.0,Premium,Quarterly,267.0,1.0
39,60,Female,10.0,15.0,0.0,8.0,Basic,Monthly,537.0,4.0
40,61,Female,49.0,3.0,0.0,3.0,Basic,Monthly,448.0,21.0
41,64,Female,3.0,10.0,7.0,15.0,Basic,Monthly,937.0,6.0
42,61,Male,6.0,18.0,3.0,6.0,Premium,Quarterly,663.0,24.0
43,46,Female,55.0,9.0,0.0,21.0,Premium,Monthly,517.0,22.0
44,57,Female,22.0,2.0,10.0,21.0,Standard,Monthly,495.0,5.0
45,18,Male,12.0,2.0,0.0,23.0,Premium,Monthly,615.0,5.0
46,49,Female,14.0,14.0,9.0,30.0,Basic,Monthly,713.0,20.0
47,59,Male,49.0,22.0,5.0,4.0,Basic,Annual,581.0,26.0
48,61,Male,33.0,30.0,3.0,24.0,Premium,Quarterly,213.0,2.0
49,52,Female,3.0,8.0,3.0,15.0,Basic,Monthly,966.0,7.0
50,54,Female,9.0,11.0,1.0,9.0,Basic,Monthly,479.0,18.0
51,63,Female,29.0,23.0,3.0,15.0,Basic,Annual,710.0,21.0
52,40,Female,14.0,21.0,6.0,2.0,Basic,Annual,157.0,11.0
53,53,Male,41.0,19.0,2.0,7.0,Basic,Annual,886.0,3.0
54,23,Male,18.0,22.0,2.0,4.0,Standard,Monthly,560.0,25.0
55,48,Female,24.0,17.0,0.0,21.0,Basic,Quarterly,832.0,13.0
56,25,Female,38.0,3.0,5.0,16.0,Standard,Monthly,385.0,27.0
57,19,Male,56.0,3.0,0.0,17.0,Premium,Quarterly,499.0,21.0
58,41,Female,39.0,21.0,7.0,15.0,Basic,Monthly,498.0,1.0
59,32,Female,20.0,27.0,10.0,29.0,Standard,Monthly,694.0,8.0
60,20,Female,26.0,9.0,8.0,23.0,Premium,Quarterly,926.0,13.0
61,20,Female,3.0,5.0,5.0,14.0,Premium,Monthly,127.0,8.0
62,48,Male,60.0,9.0,4.0,1.0,Premium,Monthly,747.0,16.0
63,30,Female,36.0,11.0,6.0,29.0,Premium,Annual,957.0,12.0
64,26,Male,25.0,23.0,7.0,23.0,Basic,Monthly,781.0,4.0
65,36,Female,39.0,29.0,9.0,22.0,Standard,Quarterly,884.0,23.0
66,37,Female,43.0,30.0,6.0,4.0,Standard,Annual,526.0,4.0
67,41,Female,28.0,1.0,3.0,0.0,Premium,Quarterly,820.0,23.0
68,33,Female,52.0,26.0,0.0,4.0,Basic,Annual,842.0,24.0
69,60,Male,26.0,22.0,7.0,30.0,Standard,Monthly,208.0,8.0
70,21,Male,45.0,10.0,4.0,3.0,Basic,Quarterly,386.0,27.0
71,28,Female,45.0,11.0,6.0,26.0,Premium,Monthly,354.0,3.0
72,30,Male,21.0,27.0,1.0,7.0,Premium,Monthly,962.0,15.0
73,23,Male,52.0,29.0,5.0,29.0,Premium,Quarterly,282.0,24.0
74,56,Female,12.0,9.0,6.0,11.0,Standard,Monthly,399.0,7.0
75,63,Female,40.0,27.0,10.0,13.0,Standard,Annual,903.0,1.0
76,47,Male,52.0,13.0,2.0,7.0,Standard,Annual,470.0,1.0
77,64,Male,48.0,26.0,9.0,20.0,Standard,Monthly,262.0,7.0
78,65,Female,7.0,4.0,7.0,11.0,Basic,Annual,515.0,29.0
79,46,Male,4.0,9.0,10.0,5.0,Basic,Monthly,114.0,12.0
80,28,Male,26.0,23.0,2.0,27.0,Standard,Monthly,939.0,9.0
81,51,Male,6.0,30.0,0.0,16.0,Standard,Monthly,175.0,2.0
82,32,Female,5.0,14.0,1.0,19.0,Basic,Monthly,227.0,30.0
83,64,Female,11.0,7.0,5.0,1.0,Standard,Quarterly,470.0,10.0
84,59,Female,14.0,27.0,8.0,7.0,Premium,Annual,722.0,30.0
85,19,Female,31.0,17.0,1.0,13.0,Standard,Monthly,470.0,29.0
86,52,Female,49.0,4.0,7.0,15.0,Standard,Annual,318.0,3.0
87,51,Male,14.0,11.0,4.0,27.0,Premium,Monthly,880.0,5.0
88,27,Female,50.0,18.0,10.0,10.0,Premium,Quarterly,597.0,7.0
89,53,Male,47.0,14.0,3.0,27.0,Premium,Quarterly,908.0,15.0
90,42,Female,26.0,12.0,2.0,29.0,Standard,Monthly,361.0,13.0
91,42,Female,4.0,9.0,0.0,18.0,Basic,Monthly,399.0,4.0
92,52,Male,7.0,10.0,10.0,11.0,Basic,Annual,430.0,5.0
93,35,Male,51.0,30.0,0.0,24.0,Premium,Annual,822.0,18.0
94,53,Female,26.0,5.0,4.0,13.0,Standard,Annual,551.0,18.0
95,35,Female,41.0,13.0,9.0,19.0,Standard,Monthly,669.0,5.0
96,39,Male,32.0,22.0,3.0,20.0,Standard,Monthly,161.0,10.0
97,25,Male,43.0,21.0,9.0,5.0,Standard,Monthly,366.0,5.0
98,47,Male,48.0,10.0,10.0,27.0,Premium,Annual,693.0,28.0
99,65,Female,21.0,20.0,10.0,2.0,Standard,Annual,421.0,15.0
100,29,Male,31.0,9.0,6.0,13.0,Standard,Quarterly,848.0,17.0
101,65,Male,35.0,2.0,10.0,1.0,Basic,Monthly,567.0,8.0
102,34,Male,51.0,19.0,4.0,14.0,Basic,Monthly,133.0,9.0
103,56,Female,23.0,25.0,8.0,11.0,Basic,Quarterly,423.0,7.0
104,62,Female,54.0,19.0,6.0,5.0,Premium,Quarterly,428.0,13.0
105,53,Male,57.0,14.0,8.0,18.0,Premium,Annual,276.0,12.0
106,27,Female,19.0,24.0,2.0,10.0,Standard,Annual,941.0,24.0
107,21,Female,21.0,1.0,0.0,23.0,Standard,Annual,544.0,23.0
108,47,Female,44.0,1.0,4.0,30.0,Basic,Monthly,596.0,7.0
109,49,Female,47.0,24.0,6.0,27.0,Basic,Quarterly,383.0,11.0
110,38,Female,32.0,6.0,4.0,11.0,Basic,Annual,249.0,5.0
111,65,Female,58.0,6.0,5.0,8.0,Standard,Quarterly,281.0,18.0
112,64,Male,34.0,30.0,9.0,20.0,Standard,Quarterly,145.0,10.0
113,36,Female,34.0,28.0,1.0,8.0,Basic,Annual,724.0,5.0
114,21,Male,41.0,30.0,2.0,7.0,Standard,Monthly,492.0,28.0
115,46,Female,49.0,17.0,7.0,8.0,Standard,Monthly,439.0,2.0
116,49,Female,47.0,7.0,4.0,11.0,Basic,Quarterly,404.0,1.0
117,46,Male,48.0,27.0,9.0,6.0,Basic,Monthly,562.0,3.0
118,26,Male,32.0,8.0,6.0,14.0,Standard,Monthly,109.0,29.0
119,63,Male,39.0,19.0,5.0,14.0,Basic,Annual,245.0,30.0
120,36,Male,9.0,1.0,7.0,16.0,Basic,Annual,447.0,9.0
121,19,Female,20.0,1.0,6.0,7.0,Premium,Quarterly,445.0,21.0
122,65,Male,6.0,18.0,3.0,22.0,Basic,Quarterly,985.0,3.0
123,24,Female,22.0,16.0,4.0,10.0,Standard,Monthly,570.0,4.0
124,37,Female,6.0,26.0,2.0,11.0,Basic,Monthly,778.0,19.0
125,24,Male,6.0,8.0,3.0,2.0,Premium,Monthly,621.0,21.0
126,51,Female,43.0,20.0,6.0,5.0,Basic,Monthly,872.0,10.0
127,37,Male,9.0,17.0,4.0,13.0,Premium,Annual,474.0,9.0
128,26,Male,47.0,25.0,8.0,14.0,Premium,Annual,521.0,3.0
129,28,Female,4.0,22.0,3.0,30.0,Standard,Quarterly,376.0,14.0
130,53,Male,17.0,17.0,1.0,21.0,Basic,Annual,206.0,11.0
131,63,Male,3.0,13.0,5.0,30.0,Basic,Quarterly,874.0,27.0
132,30,Female,2.0,18.0,2.0,7.0,Basic,Annual,672.0,15.0
133,45,Female,19.0,21.0,0.0,13.0,Standard,Monthly,797.0,2.0
134,20,Female,26.0,14.0,2.0,22.0,Basic,Monthly,829.0,28.0
135,57,Male,9.0,12.0,10.0,18.0,Premium,Annual,135.0,9.0
136,25,Female,20.0,26.0,3.0,10.0,Basic,Quarterly,600.0,28.0
137,55,Female,19.0,27.0,3.0,7.0,Basic,Monthly,629.0,6.0
138,41,Male,19.0,6.0,5.0,13.0,Basic,Monthly,138.0,8.0
139,43,Male,38.0,3.0,7.0,17.0,Basic,Quarterly,192.0,16.0
140,52,Female,15.0,26.0,8.0,26.0,Basic,Annual,458.0,6.0
141,53,Male,37.0,13.0,8.0,17.0,Premium,Monthly,561.0,28.0
142,26,Male,1.0,18.0,9.0,10.0,Premium,Annual,180.0,13.0
143,24,Female,60.0,20.0,5.0,26.0,Basic,Monthly,302.0,24.0
144,55,Female,2.0,4.0,6.0,1.0,Basic,Monthly,718.0,11.0
145,50,Male,11.0,12.0,10.0,10.0,Standard,Quarterly,425.0,3.0
146,22,Male,18.0,8.0,10.0,15.0,Standard,Quarterly,695.0,3.0
147,19,Male,40.0,23.0,6.0,29.0,Standard,Annual,231.0,27.0
148,35,Male,32.0,6.0,4.0,23.0,Standard,Quarterly,653.0,1.0
149,39,Female,55.0,2.0,10.0,29.0,Standard,Monthly,452.0,9.0
150,34,Male,46.0,18.0,5.0,21.0,Basic,Quarterly,553.0,17.0
151,18,Male,13.0,8.0,1.0,3.0,Basic,Annual,121.0,2.0
152,25,Male,58.0,2.0,2.0,21.0,Basic,Quarterly,982.0,19.0
153,22,Female,12.0,15.0,9.0,8.0,Premium,Annual,315.0,20.0
154,52,Male,32.0,10.0,1.0,27.0,Premium,Quarterly,483.0,21.0
155,51,Male,16.0,24.0,8.0,6.0,Basic,Monthly,477.0,21.0
156,36,Male,23.0,26.0,0.0,16.0,Standard,Quarterly,215.0,25.0
157,40,Female,18.0,15.0,5.0,6.0,Standard,Monthly,215.0,22.0
158,27,Male,7.0,15.0,4.0,15.0,Basic,Monthly,801.0,29.0
159,52,Male,57.0,25.0,4.0,12.0,Premium,Monthly,107.0,12.0
160,65,Female,32.0,27.0,7.0,9.0,Standard,Quarterly,137.0,17.0
161,60,Male,23.0,30.0,1.0,24.0,Standard,Quarterly,539.0,14.0
162,42,Female,17.0,20.0,4.0,20.0,Premium,Annual,393.0,12.0
163,42,Male,38.0,19.0,5.0,0.0,Basic,Monthly,910.0,30.0
164,30,Male,58.0,13.0,1.0,24.0,Standard,Quarterly,490.0,28.0
165,22,Male,56.0,8.0,9.0,10.0,Basic,Monthly,258.0,26.0
166,32,Male,7.0,18.0,8.0,6.0,Basic,Monthly,962.0,4.0
167,22,Female,30.0,20.0,0.0,25.0,Premium,Quarterly,831.0,4.0
168,25,Female,45.0,30.0,7.0,30.0,Standard,Quarterly,723.0,11.0
169,53,Female,4.0,14.0,10.0,27.0,Premium,Monthly,255.0,1.0
170,21,Female,46.0,16.0,7.0,0.0,Standard,Annual,229.0,26.0
171,53,Male,20.0,13.0,6.0,4.0,Standard,Quarterly,394.0,13.0
172,37,Male,52.0,8.0,0.0,17.0,Premium,Annual,750.0,7.0
173,58,Male,56.0,15.0,10.0,4.0,Premium,Quarterly,761.0,2.0
174,58,Male,14.0,24.0,10.0,11.0,Basic,Monthly,652.0,20.0
175,63,Female,46.0,15.0,4.0,17.0,Basic,Annual,661.0,15.0
176,21,Male,29.0,15.0,6.0,21.0,Basic,Quarterly,486.0,17.0
177,42,Female,18.0,5.0,3.0,11.0,Basic,Monthly,576.0,15.0
178,19,Male,58.0,16.0,0.0,14.0,Standard,Monthly,981.0,6.0
179,40,Male,4.0,29.0,10.0,18.0,Standard,Annual,273.0,13.0
180,47,Female,8.0,17.0,8.0,24.0,Standard,Monthly,102.0,12.0
181,58,Female,32.0,5.0,7.0,10.0,Basic,Annual,340.0,13.0
182,35,Male,22.0,6.0,2.0,5.0,Basic,Monthly,263.0,22.0
183,42,Male,13.0,26.0,4.0,25.0,Standard,Monthly,358.0,12.0
184,18,Male,55.0,13.0,10.0,26.0,Basic,Quarterly,996.0,17.0
185,57,Female,15.0,27.0,2.0,11.0,Basic,Annual,128.0,7.0
186,26,Female,4.0,3.0,0.0,3.0,Standard,Quarterly,586.0,3.0
187,61,Female,21.0,29.0,10.0,17.0,Premium,Monthly,960.0,25.0
188,37,Female,41.0,27.0,4.0,0.0,Standard,Quarterly,724.0,12.0
189,27,Female,36.0,30.0,9.0,1.0,Premium,Quarterly,659.0,19.0
190,55,Male,9.0,16.0,8.0,19.0,Premium,Quarterly,889.0,13.0
191,27,Female,44.0,23.0,9.0,6.0,Premium,Annual,472.0,25.0
192,42,Male,6.0,10.0,2.0,25.0,Basic,Monthly,133.0,4.0
193,63,Male,20.0,30.0,2.0,21.0,Standard,Quarterly,895.0,25.0
194,20,Female,25.0,4.0,1.0,4.0,Premium,Annual,565.0,28.0
195,24,Female,28.0,28.0,1.0,28.0,Premium,Monthly,409.0,1.0
196,23,Male,23.0,16.0,0.0,12.0,Standard,Quarterly,134.0,1.0
197,45,Male,50.0,24.0,8.0,10.0,Premium,Annual,813.0,2.0
198,32,Female,45.0,10.0,6.0,26.0,Basic,Monthly,640.0,19.0
199,39,Female,16.0,25.0,0.0,9.0,Premium,Monthly,143.0,22.0
200,38,Male,18.0,15.0,0.0,10.0,Premium,Monthly,438.0,16.0
201,20,Male,48.0,27.0,6.0,18.0,Premium,Monthly,968.0,19.0
202,47,Male,58.0,23.0,2.0,27.0,Basic,Annual,556.0,27.0
203,57,Male,39.0,23.0,10.0,23.0,Standard,Monthly,181.0,26.0
204,25,Female,28.0,3.0,8.0,23.0,Premium,Quarterly,265.0,4.0
205,32,Male,33.0,4.0,1.0,3.0,Standard,Quarterly,875.0,23.0
206,61,Male,5.0,22.0,7.0,11.0,Basic,Monthly,334.0,19.0
207,23,Female,39.0,13.0,4.0,27.0,Premium,Annual,645.0,3.0
208,31,Male,49.0,19.0,5.0,6.0,Basic,Annual,107.0,7.0
209,45,Male,1.0,25.0,0.0,12.0,Standard,Monthly,301.0,22.0
210,34,Female,29.0,14.0,10.0,12.0,Standard,Monthly,120.0,13.0
211,64,Female,23.0,19.0,5.0,19.0,Standard,Monthly,744.0,6.0
212,24,Female,21.0,19.0,10.0,25.0,Premium,Annual,914.0,4.0
213,32,Male,1.0,13.0,5.0,12.0,Basic,Monthly,890.0,11.0
214,53,Male,11.0,10.0,2.0,29.0,Premium,Monthly,594.0,1.0
215,56,Female,17.0,3.0,7.0,12.0,Standard,Annual,809.0,1.0
216,54,Male,48.0,21.0,4.0,28.0,Premium,Monthly,858.0,4.0
217,22,Male,26.0,23.0,6.0,5.0,Basic,Annual,253.0,9.0
218,60,Male,8.0,17.0,1.0,13.0,Standard,Monthly,253.0,23.0
219,62,Female,32.0,17.0,7.0,25.0,Basic,Annual,600.0,27.0
220,55,Male,7.0,13.0,2.0,9.0,Basic,Annual,708.0,27.0
221,40,Male,12.0,13.0,8.0,5.0,Basic,Monthly,579.0,21.0
222,50,Male,45.0,12.0,5.0,17.0,Basic,Quarterly,366.0,19.0
223,23,Female,15.0,2.0,10.0,21.0,Basic,Quarterly,283.0,24.0
224,47,Female,45.0,30.0,8.0,30.0,Standard,Annual,290.0,2.0
225,61,Male,28.0,21.0,4.0,14.0,Basic,Monthly,868.0,14.0
226,62,Male,11.0,21.0,10.0,12.0,Premium,Quarterly,227.0,22.0
227,18,Female,6.0,27.0,5.0,19.0,Premium,Annual,615.0,10.0
228,52,Male,5.0,30.0,10.0,23.0,Standard,Annual,580.0,16.0
229,22,Male,23.0,12.0,0.0,24.0,Standard,Monthly,729.0,11.0
230,34,Female,22.0,2.0,7.0,17.0,Premium,Quarterly,750.0,12.0
231,49,Male,49.0,3.0,9.0,16.0,Standard,Monthly,996.0,9.0
232,65,Male,20.0,11.0,4.0,14.0,Standard,Annual,268.0,17.0
233,58,Female,21.0,7.0,1.0,15.0,Standard,Monthly,130.0,26.0
234,29,Male,48.0,26.0,1.0,2.0,Basic,Monthly,229.0,6.0
235,37,Female,20.0,2.0,9.0,16.0,Basic,Annual,364.0,30.0
236,35,Female,46.0,23.0,3.0,24.0,Premium,Annual,409.0,19.0
237,65,Male,33.0,8.0,6.0,4.0,Basic,Annual,427.0,9.0
238,59,Male,45.0,1.0,9.0,27.0,Basic,Quarterly,988.0,13.0
239,51,Female,15.0,25.0,9.0,19.0,Basic,Annual,357.0,21.0
240,36,Male,29.0,14.0,0.0,22.0,Basic,Monthly,673.0,5.0
241,36,Female,26.0,3.0,9.0,22.0,Basic,Monthly,615.0,21.0
242,61,Female,20.0,23.0,6.0,21.0,Premium,Quarterly,664.0,7.0
243,35,Female,51.0,19.0,9.0,24.0,Standard,Monthly,327.0,26.0
244,20,Female,55.0,19.0,1.0,24.0,Premium,Quarterly,138.0,19.0
245,21,Female,59.0,29.0,5.0,2.0,Premium,Monthly,225.0,11.0
246,28,Male,35.0,29.0,5.0,23.0,Basic,Monthly,970.0,20.0
247,20,Female,24.0,12.0,1.0,26.0,Premium,Monthly,595.0,18.0
248,37,Male,47.0,2.0,8.0,26.0,Standard,Monthly,506.0,4.0
249,24,Male,31.0,20.0,10.0,24.0,Premium,Quarterly,249.0,17.0
250,31,Male,35.0,27.0,5.0,22.0,Standard,Quarterly,465.0,29.0
251,18,Female,3.0,30.0,2.0,27.0,Basic,Annual,858.0,18.0
252,57,Male,35.0,12.0,9.0,6.0,Standard,Quarterly,144.0,28.0
253,37,Female,55.0,2.0,0.0,9.0,Premium,Quarterly,269.0,5.0
254,38,Female,21.0,22.0,9.0,25.0,Standard,Quarterly,650.0,4.0
255,51,Male,39.0,14.0,9.0,0.0,Standard,Quarterly,129.0,1.0
256,37,Female,1.0,28.0,7.0,16.0,Standard,Quarterly,798.0,19.0
257,46,Female,29.0,23.0,2.0,21.0,Standard,Annual,831.0,5.0
258,34,Female,39.0,27.0,2.0,4.0,Basic,Annual,648.0,27.0
259,55,Female,16.0,10.0,6.0,7.0,Premium,Monthly,727.0,18.0
260,35,Male,52.0,28.0,5.0,5.0,Premium,Annual,242.0,26.0
261,52,Male,16.0,30.0,7.0,19.0,Premium,Monthly,521.0,23.0
262,31,Male,10.0,30.0,1.0,8.0,Standard,Quarterly,225.0,22.0
263,60,Female,15.0,24.0,7.0,23.0,Basic,Quarterly,542.0,15.0
264,39,Male,5.0,5.0,1.0,29.0,Basic,Annual,945.0,18.0
265,27,Female,58.0,27.0,2.0,11.0,Standard,Annual,646.0,4.0
266,52,Female,57.0,17.0,6.0,5.0,Standard,Quarterly,384.0,13.0
267,46,Male,1.0,14.0,5.0,26.0,Standard,Annual,610.0,3.0
268,60,Female,8.0,30.0,6.0,21.0,Premium,Annual,746.0,6.0
269,47,Male,24.0,6.0,0.0,5.0,Premium,Monthly,752.0,28.0
270,31,Male,18.0,16.0,2.0,14.0,Premium,Monthly,526.0,6.0
271,53,Male,20.0,9.0,0.0,13.0,Basic,Quarterly,918.0,18.0
272,26,Female,60.0,15.0,10.0,11.0,Premium,Annual,276.0,11.0
273,52,Female,10.0,16.0,2.0,16.0,Premium,Monthly,722.0,7.0
274,62,Male,5.0,19.0,9.0,27.0,Basic,Quarterly,923.0,7.0
275,30,Female,60.0,15.0,8.0,17.0,Premium,Annual,219.0,13.0
276,47,Female,7.0,30.0,3.0,12.0,Basic,Quarterly,136.0,22.0
277,37,Male,36.0,10.0,7.0,11.0,Standard,Monthly,189.0,30.0
278,25,Male,56.0,7.0,8.0,4.0,Basic,Annual,191.0,25.0
279,20,Female,27.0,10.0,6.0,21.0,Basic,Annual,389.0,9.0
280,31,Male,59.0,21.0,6.0,22.0,Premium,Annual,618.0,5.0
281,38,Male,28.0,5.0,6.0,24.0,Basic,Quarterly,919.0,21.0
282,46,Male,32.0,1.0,5.0,17.0,Standard,Monthly,198.0,18.0
283,33,Female,7.0,16.0,1.0,14.0,Standard,Monthly,792.0,23.0
284,21,Female,57.0,25.0,10.0,23.0,Standard,Annual,772.0,18.0
285,58,Male,31.0,17.0,10.0,1.0,Standard,Monthly,978.0,14.0
286,65,Female,49.0,20.0,2.0,16.0,Premium,Annual,721.0,26.0
287,28,Female,55.0,18.0,9.0,24.0,Standard,Monthly,358.0,24.0
288,33,Male,6.0,30.0,4.0,4.0,Basic,Quarterly,824.0,18.0
289,46,Male,1.0,21.0,6.0,12.0,Basic,Monthly,550.0,28.0
290,24,Female,3.0,12.0,0.0,21.0,Premium,Quarterly,123.0,15.0
291,49,Male,49.0,2.0,9.0,19.0,Standard,Annual,355.0,30.0
292,28,Male,40.0,22.0,2.0,2.0,Premium,Annual,314.0,29.0
293,32,Male,27.0,15.0,3.0,24.0,Premium,Quarterly,774.0,26.0
294,30,Female,47.0,10.0,1.0,7.0,Standard,Annual,122.0,11.0
295,19,Male,12.0,14.0,3.0,23.0,Standard,Monthly,888.0,7.0
296,23,Male,4.0,22.0,3.0,8.0,Basic,Annual,617.0,1.0
297,19,Male,58.0,28.0,1.0,6.0,Standard,Monthly,685.0,4.0
298,45,Female,24.0,4.0,7.0,20.0,Basic,Quarterly,637.0,27.0
299,61,Male,22.0,12.0,4.0,8.0,Standard,Annual,452.0,21.0
300,36,Female,5.0,30.0,7.0,13.0,Standard,Annual,274.0,14.0
301,50,Female,24.0,7.0,8.0,17.0,Standard,Monthly,337.0,1.0
302,53,Female,21.0,6.0,4.0,2.0,Standard,Annual,241.0,12.0
303,29,Male,21.0,15.0,1.0,4.0,Premium,Monthly,497.0,9.0
304,34,Female,32.0,25.0,5.0,27.0,Premium,Annual,346.0,21.0
305,38,Female,19.0,13.0,0.0,6.0,Premium,Quarterly,574.0,20.0
306,21,Male,54.0,12.0,10.0,10.0,Basic,Monthly,416.0,24.0
307,34,Female,40.0,29.0,7.0,9.0,Premium,Monthly,491.0,10.0
308,38,Male,50.0,16.0,9.0,16.0,Standard,Quarterly,155.0,15.0
309,22,Female,1.0,14.0,0.0,5.0,Premium,Monthly,722.0,18.0
310,29,Female,36.0,23.0,6.0,24.0,Premium,Quarterly,441.0,4.0
311,47,Female,2.0,2.0,0.0,17.0,Standard,Annual,692.0,18.0
312,56,Male,55.0,13.0,0.0,26.0,Standard,Quarterly,393.0,2.0
313,32,Male,11.0,4.0,2.0,13.0,Premium,Monthly,900.0,25.0
314,28,Female,32.0,16.0,10.0,14.0,Basic,Annual,844.0,6.0
315,48,Female,45.0,21.0,8.0,12.0,Standard,Quarterly,835.0,24.0
316,65,Male,5.0,15.0,1.0,12.0,Basic,Annual,715.0,28.0
317,41,Female,1.0,26.0,3.0,7.0,Premium,Quarterly,910.0,20.0
318,43,Male,59.0,12.0,10.0,15.0,Premium,Quarterly,239.0,17.0
319,38,Male,16.0,20.0,10.0,25.0,Standard,Monthly,986.0,9.0
320,28,Male,58.0,4.0,6.0,27.0,Premium,Quarterly,199.0,19.0
321,64,Male,17.0,2.0,1.0,19.0,Basic,Quarterly,374.0,12.0
322,22,Female,19.0,1.0,5.0,20.0,Basic,Quarterly,802.0,28.0
323,50,Female,32.0,30.0,5.0,3.0,Premium,Monthly,106.0,30.0
324,51,Female,18.0,28.0,9.0,21.0,Standard,Quarterly,638.0,19.0
325,55,Male,9.0,15.0,2.0,9.0,Basic,Quarterly,304.0,8.0
326,28,Female,20.0,18.0,8.0,6.0,Premium,Monthly,629.0,24.0
327,57,Female,26.0,27.0,2.0,29.0,Basic,Monthly,781.0,11.0
328,54,Female,1.0,30.0,0.0,13.0,Premium,Annual,783.0,3.0
329,36,Male,55.0,10.0,2.0,16.0,Standard,Monthly,154.0,22.0
330,54,Female,15.0,30.0,8.0,26.0,Premium,Annual,190.0,3.0
331,43,Female,24.0,18.0,4.0,23.0,Standard,Quarterly,397.0,17.0
332,26,Female,20.0,10.0,6.0,10.0,Basic,Annual,129.0,8.0
333,43,Female,42.0,28.0,7.0,27.0,Basic,Monthly,222.0,2.0
334,25,Female,55.0,17.0,5.0,21.0,Standard,Monthly,705.0,9.0
335,29,Female,39.0,23.0,9.0,24.0,Basic,Quarterly,927.0,11.0
336,21,Male,55.0,29.0,2.0,23.0,Premium,Monthly,757.0,22.0
337,43,Female,12.0,29.0,1.0,13.0,Premium,Quarterly,331.0,28.0
338,49,Male,13.0,29.0,8.0,13.0,Standard,Monthly,247.0,27.0
339,43,Female,12.0,12.0,10.0,21.0,Standard,Annual,746.0,5.0
340,22,Male,31.0,10.0,8.0,1.0,Basic,Monthly,902.0,26.0
341,36,Male,24.0,16.0,7.0,26.0,Premium,Annual,141.0,14.0
342,21,Female,51.0,5.0,5.0,4.0,Premium,Quarterly,453.0,14.0
343,54,Male,35.0,26.0,9.0,16.0,Premium,Monthly,306.0,26.0
344,47,Female,50.0,15.0,0.0,18.0,Basic,Monthly,562.0,23.0
